wallet_address,chain,pnl_30d,realized_pnl_30d,unrealized_pnl_30d,win_rate,trade_count_30d,avg_trade_size_usd,tags,source
BFMds9UaokYonP3izfbrfqMDkLXWAhcPqkeon3UdsBzj,solana,72241.7,67453.84,4787.87,0,535,622.05,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
EmR8n7bioWBgRkhffvY4CYjaW9Bs5VZdMQZESCRYxAaj,solana,67869.06,67445.34,423.72,0.3555,1515,174.73,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
8rE3jZsDwmpbEhm9TG1ukdJPfw5gEK8ozFDsBnnRd6oi,solana,67182.12,67182.12,0,0.3333,87,780.46,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
4euyaqBe45J5dniAcNARERUo7B1wG96riG21sEpNndfU,solana,62175.96,67091.63,-4915.67,0.4488,2903,131.29,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
9NLkzNtUokTD4C5mET8Jso6qeqdPhDRFytVTCACw62ts,solana,66458.22,66795.52,-337.3,0.2669,1017,188.34,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
HHaG7Ti2bfiE9DkB7EHnGoAmALEuTgJycL3uuMrU7EG8,solana,66498.2,66567.81,-69.62,0.2646,907,200.46,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
79waXt24ftWGKeZCr4PuXUWs9rWmLrss89pufoYGjH7r,solana,80781.32,66439.42,14341.9,0.2222,152,807.83,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
BT9PhhxAYF8XUhHZUACDAgwLpe7PDCaLAEtF9J2wzNwd,solana,66333.59,66408.86,-75.27,0.5822,4454,245.4,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
AGc3Dk8wKkFAkoX48jFXK9ViHHqfHKHbifZ4iSMv7Yge,solana,86300.34,66345.07,19955.27,0.1111,264,1509.2,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
AK3xvfDFtVGqhnyc6f9FMbk2CmcdJXPdPcaHteX7gs3F,solana,66289.66,66289.66,0,0.9821,1031,259.8,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
C2uGdFCLFnMpqAtSfzXcc1HQRu1VuNJX4bFZ1he8PNUW,solana,237385.55,66192.77,171192.78,0.0588,147,1124.75,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
C1on5JABbJPnMDUUEYJBDQ88z3D6xpVQoeBDAWX4jT2N,solana,65734.86,66130.04,-395.19,0.2396,735,1729.55,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
EiS6a9hjFNZPPXqXaUd8pGnL3ZBnHs8uNKibVRWhBeT6,solana,-29711.31,65535.77,-95247.07,0.5,398,3939.54,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
DqTG8k1SSuXUnbLLr17pvPK8iKwjaARqqeRSsPmeNgeU,solana,64538.24,65215.5,-677.26,0.6778,2199,218.95,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
637eC5YrLNo2FR9x61or9woc7fQuTrwponuTBmmdrpnC,solana,432156.57,65134.85,367021.72,0,142,5752.68,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
APTiNxN8b66Jfi9gUafihRHGoL4eDiAtkwYJy8G6y37v,solana,64973.7,65134.78,-161.08,0.2095,421,285.99,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
7kGAXsa7n1qN2FuNoJAGmzebmN9KqqLAHcwj7gvoekKk,solana,66884.94,64948.2,1936.73,0.6747,3205,181.64,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
2XH9cxvCLT9G3PAmWPGkFdyg3uPvsMtHM1LYWafrvAhw,solana,64869.24,64869.24,0,0,140,489,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
9z8xVg3nXCqERZ8e8qncmGrQ4S7LY9yFgc4PCnX9Y25Z,solana,64751.46,64751.46,0,0,110,684.36,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
7Zm84wEQT1DmsJ726p6TiYrTcWzSkhWbT33P9mbr8xHG,solana,64414.09,64414.09,0,0.1429,105,761.79,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
2qW5LsgAGnCnyfVvzhwBQBfLsQ6hz3o2uaB29U3CSHBy,solana,61850.12,64197.02,-2346.9,0.7577,1950,193.38,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
5dUXg97Ltrjid2KVTQAb6p6PVZXBneHcgV1Z8A9xzKgg,solana,125951.56,63944.27,62007.29,0.2727,412,704.96,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
Cxa3PFpRK95qU6JU8Zfo387qxXsCNq2DX4qHtZZ4w4sj,solana,63280.84,63318.04,-37.21,0.3333,307,564.38,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
J6TDXvarvpBdPXTaTU8eJbtso1PUCYKGkVtMKUUY8iEa,solana,78691.53,63311.88,15379.65,0.3788,1466,615.52,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
EwygHR1zrHiKURiK9PRoFGvDNFZitP57T5HkzGXa3t8e,solana,49896.09,62371.8,-12475.71,0,221,673.18,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
